Compound Name,Formula,Mass,RT,CAS ID,Eva_pos_01,Eva_pos_02,Eva_pos_03,Eva_pos_04,Eva_pos_05,Eva_pos_06,Eva_pos_07,Eva_pos_08,Eva_pos_09,Eva_pos_10,Eva_pos_11,Eva_pos_12,Eva_pos_blank01,Eva_pos_blank02,Eva_pos_blank03,Eva_pos_QC00,Eva_pos_QC01,Eva_pos_QC02,Eva_pos_QC03,Eva_pos_QC04
DG 29:0_2_msd1310_pos,,548.4406,3.38,,171686.0035,53954.80323,184840.8655,45241.29249,178439.9701,37721.14422,166379.3485,40645.10175,214608.3595,38791.02962,145752.1813,37270.36763,,,,119350.4555,107708.1518,116599.0622,119055.6125,123000.916
DG 29:3_2_msd321_pos,,542.392,0.98,,221176.7797,235231.854,220262.9026,216457.8395,206878,220233.923,207042.8138,220491.9132,225674.1194,208142.2264,219323.4518,208550.4784,277694.4309,251514.8154,241189.2109,255873.8805,199538.0448,208118.3007,215502.0366,225525.7458
DG 30:0_2_msd1377_pos,,562.4576,3.49,,49015.20919,259636.0568,52435.29224,282407.571,61533.57116,269427.0584,67867.7849,231536.5689,44777.44764,252501.5842,63356.42528,217418.0212,,,,79828.27639,72194.29813,80291.38782,84405.60473,85073.26417
DG 31:0_2_msd2438_pos,,576.4721,6.43,,985208.3996,518139.8663,654082.0196,375413.8383,497050.4231,275360.5458,472470.7164,302829.1189,728176.3307,213843.6151,354603.4316,240683.6357,,,,409596.7689,376613.4994,436767.3784,427154.2187,439602.8202
DG 32:3_2_msd2368_pos,,584.4407,6.17,,454857.8533,183052.006,172960.1164,168573.2528,184785.2409,166452.9431,164772.4485,178414.5654,202297.6573,155241.0307,176853.7965,382251.0786,253355.1063,507356.7448,502569.8667,416452.1765,175836.9086,152627.89,162337.8953,167298.3259
DG 34:0_2_msd2753_pos,,618.5185,7.84,,81214.5071,146664.8344,136124.4113,153985.3486,46912.03941,139012.2255,108386.8273,181616.2121,55088.71547,150684.9625,154274.7316,116493.3519,74145.87712,67980.76534,61749.85449,106852.6218,117288.0083,118050.7426,120360.524,121696.2657
DG 34:2|DG 16:0_18:2_2_msd2106_pos,,609.5305,6.78,,131454.5955,87709.2032,67829.17143,59860.98538,129483.9398,81669.02564,124733.9041,89696.32332,88660.97235,127031.2539,91478.61688,121556.5453,172221.5259,164880.7246,84107.88368,130450.1655,126410.6512,132313.0698,70540.03779,66216.03059
DG 36:1_2_msd2755_pos,,644.5347,7.84,,137390.0623,119777.113,99141.85327,117350.9753,118591.7901,109044.6356,107752.8352,132514.9055,114415.6052,118340.0903,116084.7996,117693.9719,,,,104287.6873,88318.17462,114795.967,112234.2865,111350.8388
DG 36:2_2_msd2700_pos,,642.5201,7.45,,176993.2008,171635.7298,110866.8457,133402.8511,151918.8578,127974.844,128481.974,144057.7034,136913.4379,127877.4964,133610.4681,129996.3841,,,,130203.7856,127346.3903,133514.2907,131922.8629,131984.5507
PC 34:1_2_msd2208_pos,,781.5586,5.4,,131118.8137,138408.1492,105233.9359,161163.926,84783.71367,130922.1196,111573.865,234249.034,134049.2667,182492.7776,99521.946,217712.0296,,,,152226.0929,131908.887,133735.8579,130122.8448,133545.3299
SM 37:5_2_msd2044_pos,,752.5468,5.51,,838401.5059,216360.7135,569809.1424,195613.1965,545927.9751,126999.9825,499714.5744,114536.8904,560214.2862,78766.42715,354967.1218,123409.6191,,,,400718.9308,371600.612,374181.1979,368120.2368,365094.2802
TG 50:1|TG 16:0_16:0_18:1_2_msd2628_pos,,854.7281,11.36,,258119.1159,250482.1655,188572.7442,239923.9456,227595.9629,240390.186,254678.2405,225635.8186,248349.7529,155832.5568,240097.8271,228210.2066,323903.3,182147.2086,268224.1453,160248.0318,227319.9164,143294.7034,239384.861,140503.9306
TG 50:2|TG 16:0_16:0_18:2_2_msd2859_pos,,852.7172,11.12,,330354.3321,327136.0108,275290.4298,214888.2679,197339.7897,263445.5707,329205.7076,315712.658,269672.0174,193647.4467,255184.7037,196982.7946,262470.3219,373429.0702,279281.1431,294965.4417,291956.9483,260020.685,319557.0032,315789.8178
TG 52:2|TG 18:0_16:1_18:1_2_msd3127_pos,,880.7479,11.46,,174689.8193,146191.6114,121988.6983,148766.9597,179843.4894,187252.1736,144215.711,238641.8172,151586.7535,138381.5041,180235.5072,123210.2051,227101.8152,152152.9086,199255.848,139719.3778,130417.9621,137472.737,233643.635,185604.015
TG 52:3|TG 16:0_18:1_18:2_2_msd2953_pos,,878.7347,11.22,,120178.2321,175633.3651,125376.9361,127077.8586,131352.6261,130419.0611,154690.7526,108467.9581,131440.0308,125147.1221,129862.2118,98382.49266,173343.5037,148481.6068,122100.3263,125532.4705,121147.731,131152.9302,158166.1305,126995.6849
VAE 26:7_2_msd2501_pos,,672.4917,6.74,,199948.5382,113009.9367,129293.8173,88918.61751,98268.02863,71238.95312,90240.94657,75623.87072,155838.9677,53667.1599,61164.5534,68993.58699,,,,105025.5046,99604.38706,96791.58571,96066.58293,96851.92723
w/o MS2:13-Docosenamide_1_msd1205_pos,,337.3345,3.62,,3375753.118,4517528.707,2126132.496,2519379.63,6763844.621,3684354.111,17968226.11,5861473.668,2331135.884,8141020.888,2921216.717,2662911.873,4843643.347,6896332.964,2585303.887,6175829.684,5536444.903,5916725.29,5679456.673,5584345.335
