"Compound.Name","RT","X1_B_2","X1_B_3","X1_B_4","X1_C_1","X1_C_2","X1_C_3","X10_B_2","X10_B_3","X10_B_4","X10_C_1","X10_C_2","X10_C_3","X14_B_2","X14_B_3","X14_B_4","X14_C_1","X14_C_2","X14_C_3","X15_B_2","X15_B_3","X15_B_4","X15_C_1","X15_C_2","X15_C_3","X16_B_2","X16_B_4","X16_C_1","X16_C_2","X16_C_3","X17_B_2","X17_B_3","X17_B_4","X17_C_1","X17_C_2","X17_C_3","X18_B_2","X18_B_3","X18_B_4","X18_C_1","X18_C_2","X18_C_3","X19_B_2","X19_B_3","X19_B_4","X19_C_1","X19_C_2","X19_C_3","X20_B_2","X20_B_3","X20_B_4","X20_C_1","X20_C_2","X20_C_3","X9_B_2","X9_B_3","X9_B_4","X9_C_1","X9_C_2","X9_C_3","blank03","blank02","blank04","blank01","QC01","QC02","QC03","QC04","QC05","QC06","QC07","QC08","QC09","QC10","QC11","QC12","QC13"
"ST 27:1;O'ST'[M+H-H2O]+",5.31,457074.3244,432011.7395,437939.8911,403236.3494,394957.5145,342148.7333,314715.2893,312959.3876,434558.0628,329344.852,312735.3156,434376.7618,348131.5329,363336.9403,330212.8891,512625.1238,651816.0772,472355.0959,344507.0642,374219.2665,297349.3099,311146.8867,318687.4043,326654.7938,510473.0874,355925.9344,304285.0876,343188.5983,381429.8857,476768.9018,375200.5548,383637.2469,576660.4371,435260.7858,352778.9524,464301.1258,313639.6597,344831.3608,381018.8718,371723.0701,352754.3916,336980.3867,356499.5722,313946.1349,392595.1665,446872.0093,362061.8247,250025.7324,403338.3696,405612.3698,377955.4411,411837.7156,415925.1032,294248.048,379775.9276,431255.372,408256.2127,486897.2365,317552.8452,NA,NA,NA,NA,449590.5025,432014.5107,440047.5233,417291.9507,401422.8069,390839.7285,349062.6274,374772.2491,375192.417,363901.3739,335068.2149,368183.266,365986.0559
"CAR 14:1'CAR'[M+H]+",0.68,140613.8515,277749.7307,47253.36617,147633.9528,374953.0642,325646.6396,209000.3221,71385.22531,150080.2647,241994.476,85213.19634,64414.58913,920781.1732,390496.0919,848529.7357,119912.5955,2114473.136,87220.40181,201551.0886,651416.7149,77019.13834,1290766.925,424746.6481,188789.96,213193.6668,195261.2637,728226.5721,213771.0369,263619.1049,60563.06007,123239.0887,69802.84679,144027.7311,1603452.385,145700.31,119143.7213,54006.58266,69462.24853,899802.05,505692.1565,138126.4116,530461.6922,1699676.152,428686.7073,886741.4173,90821.49361,192702.6332,75395.30341,141422.0274,156746.2512,222540.5057,488945.0412,61415.67412,91476.64441,517886.2847,1206789.061,314714.3671,497596.4179,185657.8589,NA,NA,NA,NA,405780.7612,400326.1577,402462.7886,376766.6449,361324.2986,383813.165,352455.3023,363429.6411,359057.0968,354421.0854,342952.4823,345828.3264,352825.0979
"CAR 16:2'CAR'[M+H]+",0.77,115817.7947,167750.9261,33495.32458,56934.20029,78289.66612,72172.93663,150413.0406,109670.7292,244739.1698,60954.27533,40695.46937,39023.1309,926137.7765,591771.5503,501743.2953,47492.98948,526186.9993,44968.44489,176703.4137,536121.7486,77162.28463,281038.6808,67636.61064,39884.51035,93689.5739,221328.5839,168838.9229,66241.60177,67252.55552,60758.42465,131213.6246,63646.97405,51477.09316,316264.345,54679.81862,139507.7325,64755.49843,107722.788,222751.334,125163.6168,57561.3673,414251.8255,1909380.001,397109.1132,162003.0304,55207.62459,57322.93594,137769.6793,253464.947,172575.5884,80088.79196,168487.5849,61286.45854,121834.3329,449155.846,1057841.469,124666.7131,136970.3351,34767.21349,NA,NA,NA,NA,220280.3819,220226.4835,215361.0744,212846.9182,199557.2331,217059.1519,210358.2218,203412.2691,199657.0122,193553.3398,191769.4051,197267.5139,195112.4115
"CAR 18:3'CAR'[M+H]+",0.89,395326.9607,174907.7684,76473.19465,83846.40526,46862.26421,41408.91904,277297.3633,396780.7228,666685.6139,66153.34724,50254.10535,73764.70455,456625.1379,780543.5675,302448.1039,148938.3515,190069.8121,122771.1666,438350.1318,294083.5312,237259.2046,146815.9092,50329.84924,44026.431,228650.2025,420933.6341,153108.616,119504.098,147158.9856,182898.2572,291427.903,153880.4636,111913.2239,236779.2347,79875.84456,626199.1303,245154.8788,409785.8314,174351.9148,94333.40813,74497.98935,366714.8161,529264.7271,269906.456,109822.3471,139208.0495,114954.4063,519614.7293,753280.4418,379841.1678,170766.0653,186410.9209,104461.3623,238509.9598,202095.2362,401319.2286,94181.47328,92132.05511,27632.50781,NA,NA,NA,NA,237054.1872,239953.2401,235153.2384,235771.906,224904.4383,238168.4324,231278.2989,211154.0473,211919.1081,212623.5176,214661.3601,223967.1896,205240.9836
"CAR 18:2'CAR'[M+H]+",1.09,3281419.178,1649195.862,738666.7628,1306098.594,761410.6987,707662.3104,2766388.702,3680749.793,6070651.866,810035.5586,776950.8907,1063155.67,4357404.987,6813428.412,2954353.056,1328232.62,1659142.876,1143755.317,3186902.786,2615773.337,1909938.64,1215337.282,452121.9252,534443.9111,1942518.603,3074882.416,1910659.997,1190862.421,1600013.084,1698459.612,2439768.087,1594879.613,1261573.482,2872370.742,1068152.053,4175650.893,1939100.626,2869002.267,2247382.624,1761295.824,1249543.241,3367574.985,4722604.435,2456236.553,1288757.445,1797313.058,1377736.579,3796414.174,5742891.393,2903856.135,2250817.847,2957648.351,1219869.02,2228044.563,2019979.811,3999613.724,1465261.85,1865868.278,297083.7222,NA,NA,NA,NA,2588676.923,2496912.127,2478174.791,2427711.684,2307428.882,2438073.99,2279891.77,2235033.255,2144681.217,2085259.156,2048801.246,2068298.209,2046585.643
"CAR 20:5'CAR'[M+H]+",1.09,690014.5378,319664.0157,137323.0573,273212.8376,117532.5738,129425.9183,575490.8433,788789.3223,1220668.683,150110.7536,147721.2186,215367.2744,920904.0681,1380089.954,551995.2108,252313.4563,320177.3642,241617,643847.5703,537389.9599,390949.8237,296667.7401,90608.57286,97927.18016,376375.8089,636041.6439,338870.013,262941.4941,322649.3054,329461.973,505458.0809,302747.3554,222605.7099,546615.9993,228937.423,837031.0219,410318.7871,544536.818,423310.2684,363576.1044,247210.7157,674321.0486,956439.3533,502364.4929,247569.1097,320943.0142,237422.3965,733424.0022,1130341.545,539322.6114,447428.0219,577482.3928,235781.1179,447243.9102,427272.6297,796361.3658,282050.9841,285588.1134,67543.35225,NA,NA,NA,NA,489932.1522,476192.46,478906.9146,467772.7145,431550.8048,434355.9949,432753.8756,429876.9468,442147.3205,436078.8516,432588.1356,438960.8092,438446.3133
"CAR 20:4'CAR'[M+H]+",1.42,840666.8253,348873.0923,187846.0668,836427.2568,375380.3342,478380.0209,662532.1901,770120.8567,1230342.745,564903.2982,414191.585,612647.895,926449.2086,1421165.392,711893.7609,751557.0784,1207969.608,716164.2296,641382.7178,507545.3135,343049.5351,878779.2839,310685.3221,278829.0549,761740.2267,657445.9645,1187746.183,823148.9548,1012430.104,351556.1499,579313.8973,320574.4612,573354.4029,1293160.922,438428.2819,835798.0102,311305.0488,439390.0841,1367113.668,755202.8934,609706.9476,679282.1765,850678.4834,482820.9289,892933.8551,717876.6696,656858.0482,740788.3469,1169864.451,547095.55,950571.2025,877226.2166,531509.6448,441058.0279,357305.4857,652612.4225,667366.848,658126.5789,126345.6905,NA,NA,NA,NA,764129.4944,745037.2869,733321.6034,725125.1741,681719.3021,684392.5887,684298.3605,674096.7878,672424.156,683353.9993,667894.1567,656371.6386,666138.0067
"LPE O-18:2'EtherLPE'[M+H]+",2.2,57792.57446,30204.20823,19671.84163,49210.97457,42665.98941,36163.78356,40864.07723,39227.63606,59611.22714,30828.45147,43224.18052,61895.0331,64201.90696,52165.70696,42960.4904,75402.92713,71049.01006,58611.81898,27577.4563,28824.36912,20721.51289,16689.17679,24076.55155,24127.81537,40911.06168,38408.86574,42649.62981,46171.27076,57974.51013,74227.98517,77798.39995,70288.40898,88981.3796,98919.1893,65086.88671,75991.51128,38714.55618,51437.29173,54819.36341,65061.073,44395.20543,56269.91384,54704.83541,45863.12383,64680.52004,90043.34761,57074.35205,74052.6899,110441.51,74713.70353,88232.99756,146622.113,65986.51383,35796.88029,14670.66445,57390.33784,58157.03322,72816.30663,37758.80115,NA,NA,NA,NA,57466.13934,52492.60484,54495.95626,49251.4527,51593.69846,53942.08365,55360.81995,52310.83339,51839.27658,53403.79111,52884.2694,53403.04365,50117.55319
"LPC O-16:1'EtherLPC'[M+H]+",1.75,349604.7052,188499.787,181082.3017,269181.4865,263173.0539,178596.1955,220597.0029,196328.3561,330500.862,200739.5521,252950.9015,360333.9901,316426.4932,264177.4672,193034.6325,355227.4148,342391.4845,263501.1037,190125.2011,186208.7966,144914.4236,144606.4945,165266.2686,146707.4557,305277.9429,255764.8864,244823.4393,299404.5445,314774.6188,569300.3834,603230.8392,553853.9063,580152.3646,621721.5078,391218.469,528641.588,212750.6196,299566.1204,380677.3831,426297.0184,276136.5636,340822.6132,349017.5906,248669.3842,422985.6106,542903.2401,349254.5948,468239.854,710607.4245,509103.4792,759326.5932,1151600.967,435242.6023,295746.4592,339952.5533,495982.0704,534841.7787,730164.1268,302998.6701,NA,NA,NA,NA,383559.5705,378689.7062,380198.4216,362383.2169,350186.969,367813.5646,352225.1881,341619.0052,341360.2883,331495.2889,327381.9169,331171.1473,336604.4734
"LPC O-18:2'EtherLPC'[M+H]+",2,78030.23574,38021.7343,28279.66214,58543.18728,63549.45288,34702.94591,36466.74221,25911.98202,58745.19412,30545.81906,41971.79178,71042.94656,72116.25611,59506.58796,42476.18737,90335.98335,91854.08467,59380.56072,22036.91375,24375.27379,22012.12407,27798.45847,28402.22493,27439.19387,71678.51247,51092.68328,59818.57723,60047.28395,73634.55945,195510.0243,210266.9598,198513.5141,193786.2767,198176.6369,115789.3437,112405.0327,39402.14532,58753.32324,82902.59062,78843.99211,49096.24542,79765.72523,69967.2377,62330.90406,109295.6013,129497.7957,84389.26435,128219.5263,195103.3622,142632.8085,220796.1971,348498.9231,128169.6655,60346.15891,65767.95475,88733.58255,112472.2339,148027.5741,53540.77275,NA,NA,NA,NA,85518.04865,88705.7526,89765.77767,86310.79598,83356.77042,94107.53708,89036.94504,82769.29633,81794.57115,81843.67502,79756.22119,83061.83788,82874.77273
