row ID,row m/z,row retention time,QC04,QC06,QC08,QC05,QC08_3,QC08_1,QC08_2,QC02,QC07,QC01,QC09,38,68,67,56,62,74,73,79,37,61,132,116,85,115,80,109,126,86,121,110,13,14,25,32,20,31,7,26,2,19,8,1,49,50,55,127,133,150,122,151,138,144,145,157,139,156,Blank03,Blank04,Blank02,Blank01
(.+/-.)-4-Methylamphetamine_[M+H-NH3]+_nisthigh_ZDHZDWSHLNBTEB-UHFFFAOYSA-N_corr_6499_pos,133.1012194,5.250165379,3714668.428,3145989.997,3167306.735,3117870.261,3238881.244,3084997.224,3433488.57,3185483.544,3092900.33,3099291.737,3359714.662,3031404.602,3149535.93,2927110.781,3196146.192,2853142.561,3190344.681,2911635.231,2924544.815,2796189.482,3310837.473,3080262.085,3435029.002,3256335.346,2754095.142,3001564.013,3163911.058,2972718.452,2979716.987,3166940.711,2993118.297,3350050.092,3062006.175,3080725.2,3142475.923,2848349.197,2868873.409,3164567.411,3101094.365,3185678.42,3071439.596,3489799.517,3559855.598,3163539.377,3161235.671,2888287.483,2875997.847,2907656.782,2807450.804,3185028.924,2869647.624,3193349.534,3263678.652,3004876.843,3038559.151,3485187.766,2949041.574,3190429.474,3743521.217,3240460.647,2967783.665
(+)-Dihydrocarveol_[M+H-H2O]+_nisthigh_KRCZYMFUWVJCLI-GUBZILKMSA-N_corr235_136_pos,137.1325851,4.203910426,69864579.21,67396252.81,65219502.12,59273899.89,67243033.31,69259799.75,70969458,67580071.31,68092351.65,61286693.01,59020862.44,60969072.03,63408813.52,64964745.99,65553604.99,46574879.84,66017457.27,67576951.19,64119679.22,61884970.19,64386872.21,63452154.91,66379140.58,70108362.04,61615787.3,66840408.02,61695980.96,58357165.6,68271674.09,64703275.76,62747415.89,62168630.84,60406411.76,64562672.5,66387258.08,69028634.58,63554570.41,60774711.07,68496216.03,59862995.76,70938613.89,68954377.33,65105551.67,63945832.19,70372335.79,62305128.31,65727147.39,62664556,62690167.97,66212672.29,61887170.49,64404884.82,65749602.72,66151498.08,65747396.3,64080520.04,63215695.21,55160423.72,62363758.48,51738958.73,46184399.85
(2-Butanoyloxy-3-carboxypropyl)-trimethylazanium_[M + Na]+_sirius_LMEFYPBECRVLEK-UHFFFAOYSA-N_corr_420_pos,566.3223039,5.887731227,14239518.94,12311081.27,12169560.52,13748720.16,6073624.142,7589953.478,6512978.522,11333999.55,12357994.95,12744401.31,6568722.504,11249412.61,15669087.55,11482085.5,13315595.08,12962626.29,20564950.8,20490328.62,2883524.721,4826362.558,6426943.419,4502632.611,20087169.52,4088127.867,8684230.516,20553853.66,39169317.71,11002798.9,5454649.592,8399458.32,32509475.31,8234148.423,10962069.72,3118149.902,5083956.193,10795317.04,5426106.359,5007635.606,3650136.936,11171245.34,6673779.355,17692818.15,16111230.24,1854085.293,3563712.567,706415.5904,12645185,12784227.63,5495809.018,10459102.38,8023502.021,12194301.71,16891754.88,16568299.16,4419833.285,32354705.28,21421276.23,40501.25723,21926.82067,0,0
(2R)-3-Hydroxyisovaleroylcarnitine_[M+H]+_nisthigh_IGLHHSKNBDXCEY-SECBINFHSA-N_corr_134_pos,262.1649788,2.634988346,129939361.5,119652824.1,110539396.5,121533082.1,1249420.389,1361519.937,1142769.566,130095134.3,120897085.3,124434388.9,1206786.69,87229424.05,61160316.78,70872939.71,118557838.1,497114.144,102461418.3,121086272.9,27481419.64,146713453.2,24705285.48,901324.1738,221800800.9,115631453.9,210538955.6,64814428.46,190834608.2,92426046.17,114441677.6,241610191.8,197228621.1,245996293.8,165866538,44694451.54,62360268.19,52224123.52,80415324.89,155950581.3,36805425.02,97865525.94,84807110.64,141943467.7,105651996.5,66796912.53,96925242.25,18320675.82,110605238.9,44761513.7,733638.112,235788039.3,70772980.49,50659404.04,84571481,79184335.35,43815313.03,97364410.52,82947041.64,0,0,0,0
(2S)-2-Azaniumyl-4-{[(1R)-2-{[(2R)-2-[(4S)-4-azaniumyl-4-carboxylatobutanamido]-2-[(carboxylatomethyl)carbamoyl]ethyl]disulfanyl}-1-[(carboxylatomethyl)carbamoyl]ethyl]carbamoyl}butanoate_[M + H]+_sirius_OCNQVBKNFGXAFY-UHFFFAOYSA-N_corr_2748_pos,480.1286238,2.808296551,1574205.722,1558126.916,726459.6758,989409.9052,1039755.961,831723.5641,942529.239,1726420.29,675211.0377,1288873.969,988628.2924,657210.0745,448834.8603,263853.1541,1420337.018,361752.0549,187554.1344,226225.562,103361.2017,553022.5379,3632793.024,1118665.258,367669.2956,735969.8693,236857.8717,484026.1301,767053.1983,570978.9192,546807.1023,775075.8476,351596.3548,436849.5364,395089.9137,450070.4611,26644.67813,409287.4269,815528.7035,589852.2263,199760.3711,289542.2592,264424.7341,360338.3958,804514.7507,401026.3797,697908.8666,1720456.49,1432222.771,305362.5278,293486.9901,274439.2595,450260.5099,449038.2061,711633.8696,668864.0757,820287.358,1654074.39,646487.5057,0,0,0,0
(3-Carboxy-2-hex-2-enoyloxypropyl)-trimethylazanium_[M + Na]+_sirius_OMTAZFDXPJRUCL-UHFFFAOYSA-N_corr264_468_pos,724.4518137,4.565886564,9434160.183,9215568.754,8769395.235,9300320.183,3077095.717,3013429.838,3031400.756,10784675.67,8911128.835,11228895.85,2808571.384,8416005.612,11450021.56,10139160.86,8965196.175,2876578.002,8619027.524,9354158.468,3012066.315,9008591.031,8885838.843,3146758.036,8325137.293,9929522.176,8951018.855,10419683.82,9248148.941,9544852.07,9076671.263,9204018.845,8111734.796,8189779.235,8479135.942,9138905.78,9615797.116,10197134.41,8234869.855,7989661.181,10515832.82,8380012.103,11467548.66,15096991.82,9667200.583,3087339.771,12161056.85,2527961.203,8751376.747,2813472.752,2996223.084,10375349.21,8794920.492,8555167.425,10380904.12,12028516.77,9713920.021,10402715.39,8760741.304,13615667.67,14618297.24,13267016.91,15441442.2
(3-Carboxy-2-oct-2-enoyloxypropyl)-trimethylazanium_[M + H]+_sirius_RQRUZNUTVQRNAU-UHFFFAOYSA-N_corr48_270_pos,487.1163772,1.254116854,39737339.13,40115657.21,41359594.41,37242017.53,21602164.93,20762802.57,21187428.76,45240664.77,40911242.51,43673480.81,22005366.48,137699884.5,8334310.798,111139.0718,196286521.2,118327613.8,141737.2606,201771.2281,0,161559510.5,263135168.6,4406346.931,27572881.44,9107500.796,789785.5062,106178.6694,2835948.135,296368.2637,7703041.035,21209025.27,342002.1606,10714154.95,9852575.222,55730489.79,717410.9106,11805399.14,74170954.94,9097087.109,55243919.27,3114242.98,7363226.33,2154824.994,7349428.638,73061929.83,153215533.3,84822359.53,34324060.28,1919584.758,447028.7999,61513475.18,61159046.63,792169.3683,43791.37975,625264.1455,27381779.21,7172995.417,38733161.32,0,0,0,0
(3-Carboxy-2-tetradec-9-enoyloxypropyl)-trimethylazanium_[M + H]+_sirius_HEQBQGYOPQNTBN-UHFFFAOYSA-N_corr203_309_pos,432.2805053,3.656380618,15551533.53,15948242.57,15782687.48,14960680.9,9779063.835,9379727.774,9934866.974,15144101.97,16605703.25,15588692.64,10603350.6,49597171.31,12862754.02,18442253.16,10282615.65,9085785.818,19762797.43,14504804.49,8847223.363,25503471.78,14469364.35,12682894.78,15181914.4,10521248.03,7015995.744,22020226.96,3779605.669,18755374.77,8738190.682,10042493.38,19124496.41,15374796.1,16116834.35,11443967.87,17596177.16,9164808.167,10190597.47,13515616.8,9355127.952,13926271.39,10726321.35,68216351.63,617400.2237,11199982.89,7896140.837,9074987.535,12375301.75,11070905.46,9920969.346,13760258.12,10070768.93,16394586.15,17101807.35,10309756.81,11020811.15,16861895.68,41285.97445,9822218.909,12503222.59,11454513.31,8261086.58
"(4-Butoxy-2,3,5,6-tetrafluorophenyl)boronic acid_[M + H]+_sirius_ICRGYFPAGKGSJA-UHFFFAOYSA-N_corr81_1020_pos",344.0586882,1.697412463,6332573.858,6951808.615,6622525.141,6604647.788,4192522.979,3809685.831,3933434.343,7122528.122,6640629.7,7292215.755,4268871.649,3297847.519,2906085.598,2958061.388,4414936.422,2089637.297,3591163.796,3744759.454,2006840.04,17329298.92,24099721.96,14750243.05,4281208.473,3901941.044,3047528.706,3204339.43,3574074.465,8017614.861,3501368.34,10659358.59,4333100.759,3208383.711,4779436.873,2612444.685,2381827.854,1910553.586,2785416.621,2920367.165,2187972.32,3281904.994,4012977.736,2715133.701,2229464.489,2098144.236,3169207.317,11365552.89,6675355.81,8878948.492,1754818.429,9021631.14,4951626.114,29523171.25,3428029.456,2429797.263,3253625.178,8045970.819,9191273.92,0,0,0,0
(R)-Butyrylcarnitine_[M+H]+_nisthigh_QWYFHHGCZUCMBN-SECBINFHSA-N_corr161_12_pos,232.1543298,3.217370735,1570944286,1423820135,1382529957,1560420577,1042877698,1043936811,1053612217,1561219185,1506326249,1463532990,973891160,2963880232,2004500436,105965774.4,3587062652,1366082214,2917464876,137680233.7,35764172.59,533520935.1,244356011.2,167342945.5,2927215402,156410396.9,241959234.7,1772363936,312401983.7,122505668.8,2214919825,363676784.4,4762799357,178190560.2,1047073807,206965170.9,1965025419,1862485621,247842501.7,223166845.7,1675087724,1628669236,320634911,2001919588,338355169.5,329898714.7,1674359557,156370305.9,1624666452,2044063925,85340726.09,3372975372,779404564.1,148871916,142258145,855129534.2,1870507649,1307229829,194374112.3,0,0,0,0
.beta.-Alanine_[M+H]+_nisthigh_UCMIRNVEIXFBKS-UHFFFAOYSA-N_corr16_57_pos,90.05493089,0.886232511,507373770.1,510406236.9,456872471,466232019.2,374734983,389721434,397638619.3,528773632.1,497856694.4,515574106.6,362998246.9,438063594.1,392215956.1,427013909.3,542452427,386739854,404716028.4,461470902.6,290723634.9,504089476.3,602409356.7,384219367.7,592937528.2,542498716,442733167.4,526343566.1,410121195.4,509043584,635012303.1,521750039.2,470826393.2,445297990.8,382241544.8,610334504.1,424605889,495306252.3,568778344.3,470250051.9,512734656.9,366297602,563834798.3,433507889.2,334905235.3,362768380.3,430453445.5,324161879.2,579242202.2,383124782.8,401157363.1,702563896.2,521081338.5,522024587.1,447790304,377639011.9,529852384.3,461893024,567671903.3,7478086.739,4638140.376,4915000.318,5156941.787
.epsilon.-Caprolactam_[2M+H]+_nisthigh_JBKVHLHDHHXQEQ-UHFFFAOYSA-N_corr_421_pos,227.1753895,3.445074321,8972735.259,9105725.882,7713116.349,8724362.66,9836136.707,9959508.594,10165198.08,8619580.507,8806147.716,7958359.795,7668336.999,5173291.907,12922752.29,10103923.17,7899769.065,3975727.405,11182908.33,11119790.34,8486081.219,3342362.039,10969783.21,3153672.43,9981937.445,2854839.654,11193894.58,2089926.694,13659496.02,14831051.81,2071020.676,9807660.8,13929466.35,1949154.4,11240341.13,2485964.398,12344286.3,11769580.8,3151869.394,9308111.598,16060336.39,11743650.29,10391127.8,12103650.57,21353083.93,2074829.47,19271582.87,6737430.828,1909770.706,8134515.438,5039760.737,10782599.57,3617905.416,2361281.187,13172871.8,18409263.98,13277944.28,12497804.98,2390494.408,4632483.811,4826799.496,4748521.502,4598883.7
".gamma.-Butyrobetaine, methyl ester_[Cat]+_nisthigh_XQSLKIBWQSTAGK-UHFFFAOYSA-N_corr51_9_pos",160.1331347,1.253367992,1992705317,1867344834,1866483873,1951125398,1317138033,1385354472,1345859324,2094542543,1817027263,2109204256,1275356322,1136628127,560098346.1,631912649.4,501185943.7,421270546.6,3015302882,3397081212,1846755482,890217161.5,205057221,1108653291,2963751089,3478918590,2879414670,3077266223,2474240038,1810271890,3309577319,2690196593,2773964158,1520750910,1403899620,1190936240,1789098090,1238856119,1280587871,1823696049,1470653954,1555705093,1412939302,1681776740,1448508524,584753775.6,1007620074,211829769.1,1665739662,920804306,1070673897,2920320371,1477596785,1319744400,1404886234,1472955187,1405870022,1562586309,1703892372,0,64103.85875,0,37087.81755
