"Identifier","CID","MolecularFormula","MolecularWeight","CanonicalSMILES","IsomericSMILES","InChI","InChIKey","IUPACName","ExactMass","MonoisotopicMass"
"(-)-N-Acetylneuraminic acid",68765363,"C11H21NO10",327.28,"CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O.O","CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O.O","InChI=1S/C11H19NO9.H2O/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13;/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19);1H2/t5-,6+,7+,8+,9+,11-;/m0./s1","UWBNZJVMKXMVFR-BKSOAOGQSA-N","(2S,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid;hydrate",327.11654587,327.11654587
".alpha.-Ionone",5282108,"C13H20O",192.3,"CC1=CCCC(C1C=CC(=O)C)(C)C","CC1=CCCC(C1/C=C/C(=O)C)(C)C","InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h6-8,12H,5,9H2,1-4H3/b8-7+","UZFLPKAIBPNNCA-BQYQJAHWSA-N","(E)-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",192.151415257,192.151415257
".beta.-Nicotinamide adenine dinucleotide, reduced",11250888,"C21H29N7O14P2",665.4,"C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O","C1C=CN(C=C1C(=O)N)[C@@H]2[C@H]([C@H]([C@@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11+,13-,14+,15-,16+,20-,21+/m0/s1","BOPGDPNILDQYTO-DQQFMEOOSA-N","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2S,3R,4S,5S)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate",665.12477262,665.12477262
".delta.-Octalactone",12777,"C8H14O2",142.2,"CCCC1CCCC(=O)O1","CCCC1CCCC(=O)O1","InChI=1S/C8H14O2/c1-2-4-7-5-3-6-8(9)10-7/h7H,2-6H2,1H3","FYTRVXSHONWYNE-UHFFFAOYSA-N","6-propyloxan-2-one",142.099379685,142.099379685
".epsilon.-Caprolactam",7768,"C6H11NO",113.16,"C1CCC(=O)NCC1","C1CCC(=O)NCC1","InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)","JBKVHLHDHHXQEQ-UHFFFAOYSA-N","azepan-2-one",113.084063974,113.084063974
"[5-acetyloxy-3-(hydroxymethyl)-2-oxo-6-propan-2-ylcyclohex-3-en-1-yl] 3-methylpentanoate",44715773,"C18H28O6",340.4,"CCC(C)CC(=O)OC1C(C(C=C(C1=O)CO)OC(=O)C)C(C)C","CCC(C)CC(=O)OC1C(C(C=C(C1=O)CO)OC(=O)C)C(C)C","InChI=1S/C18H28O6/c1-6-11(4)7-15(21)24-18-16(10(2)3)14(23-12(5)20)8-13(9-19)17(18)22/h8,10-11,14,16,18-19H,6-7,9H2,1-5H3","MPXXSICHRNCHHK-UHFFFAOYSA-N","[5-acetyloxy-3-(hydroxymethyl)-2-oxo-6-propan-2-ylcyclohex-3-en-1-yl] 3-methylpentanoate",340.18858861,340.18858861
"1-(1',3'-Benzodioxol-5'-yl)-2-butanamine",129870,"C11H15NO2",193.24,"CCC(CC1=CC2=C(C=C1)OCO2)N","CCC(CC1=CC2=C(C=C1)OCO2)N","InChI=1S/C11H15NO2/c1-2-9(12)5-8-3-4-10-11(6-8)14-7-13-10/h3-4,6,9H,2,5,7,12H2,1H3","VHMRXGAIDDCGDU-UHFFFAOYSA-N","1-(1,3-benzodioxol-5-yl)butan-2-amine",193.110278721,193.110278721
"1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine",10917802,"C24H50NO6P",479.6,"CCCCCCCCCCCCCCC=COCC(COP(=O)([O-])OCC[N+](C)(C)C)O","CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","InChI=1S/C24H50NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-29-22-24(26)23-31-32(27,28)30-21-19-25(2,3)4/h18,20,24,26H,5-17,19,21-23H2,1-4H3/b20-18-/t24-/m1/s1","HTZINLFNXLXRBC-CQLBIITFSA-N","[(2R)-3-[(Z)-hexadec-1-enoxy]-2-hydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",479.33757531,479.33757531
"1,11-Undecanedicarboxylic acid",10458,"C13H24O4",244.33,"C(CCCCCC(=O)O)CCCCCC(=O)O","C(CCCCCC(=O)O)CCCCCC(=O)O","InChI=1S/C13H24O4/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H,14,15)(H,16,17)","DXNCZXXFRKPEPY-UHFFFAOYSA-N","tridecanedioic acid",244.16745924,244.16745924
"1,3-Cyclohexanedicarboxylic acid",107205,"C8H12O4",172.18,"C1CC(CC(C1)C(=O)O)C(=O)O","C1CC(CC(C1)C(=O)O)C(=O)O","InChI=1S/C8H12O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h5-6H,1-4H2,(H,9,10)(H,11,12)","XBZSBBLNHFMTEB-UHFFFAOYSA-N","cyclohexane-1,3-dicarboxylic acid",172.07355886,172.07355886
