sample,labels,batch,order,class,time,paired,amount
row.ID,Name,NA,NA,NA,NA,NA,
row.m.z,Mass,NA,NA,NA,NA,NA,
row.retention.time,RT,NA,NA,NA,NA,NA,
QC04,QC,1,10,NA,NA,NA,
QC06,QC,1,28,NA,NA,NA,
QC08,QC,1,46,NA,NA,NA,
QC05,QC,1,19,NA,NA,NA,
QC08_3,QC,1,49,NA,NA,NA,
QC08_1,QC,1,47,NA,NA,NA,
QC08_2,QC,1,48,NA,NA,NA,
QC02,QC,1,2,NA,NA,NA,
QC07,QC,1,37,NA,NA,NA,
QC01,QC,1,1,NA,NA,NA,
QC09,QC,1,57,NA,NA,NA,
X38,Sample,1,42,2,NA,NA,
X68,Sample,1,18,6,NA,NA,
X67,Sample,1,15,5,NA,NA,
X56,Sample,1,23,2,NA,NA,
X62,Sample,1,56,4,NA,NA,
X74,Sample,1,30,2,NA,NA,
X73,Sample,1,13,1,NA,NA,
X79,Sample,1,52,3,NA,NA,
X37,Sample,1,44,1,NA,NA,
X61,Sample,1,36,3,NA,NA,
X132,Sample,1,51,3,NA,NA,
X116,Sample,1,41,4,NA,NA,
X85,Sample,1,5,5,NA,NA,
X115,Sample,1,27,3,NA,NA,
X80,Sample,1,25,4,NA,NA,
X109,Sample,1,39,1,NA,NA,
X126,Sample,1,17,1,NA,NA,
X86,Sample,1,11,6,NA,NA,
X121,Sample,1,33,5,NA,NA,
X110,Sample,1,21,2,NA,NA,
X13,Sample,1,43,5,NA,NA,
X14,Sample,1,40,6,NA,NA,
X25,Sample,1,32,3,NA,NA,
X32,Sample,1,20,6,NA,NA,
X20,Sample,1,12,2,NA,NA,
X31,Sample,1,45,5,NA,NA,
X7,Sample,1,35,3,NA,NA,
X26,Sample,1,8,4,NA,NA,
X2,Sample,1,29,2,NA,NA,
X19,Sample,1,4,1,NA,NA,
X8,Sample,1,7,4,NA,NA,
X1,Sample,1,9,1,NA,NA,
X49,Sample,1,50,5,NA,NA,
X50,Sample,1,24,6,NA,NA,
X55,Sample,1,53,1,NA,NA,
X127,Sample,1,38,2,NA,NA,
X133,Sample,1,54,4,NA,NA,
X150,Sample,1,55,5,NA,NA,
X122,Sample,1,6,6,NA,NA,
X151,Sample,1,22,6,NA,NA,
X138,Sample,1,34,5,NA,NA,
X144,Sample,1,16,1,NA,NA,
X145,Sample,1,14,2,NA,NA,
X157,Sample,1,26,4,NA,NA,
X139,Sample,1,3,6,NA,NA,
X156,Sample,1,31,3,NA,NA,
Blank03,Blank,NA,NA,NA,NA,NA,
Blank04,Blank,NA,NA,NA,NA,NA,
Blank02,Blank,NA,NA,NA,NA,NA,
Blank01,Blank,NA,NA,NA,NA,NA,
