RT [min],CCS,delta CCS,m/z meas.,M meas.,AllIons,Ion,MS2 annotated,MS/MS,Name,Original annotation,Molecular Formula,Annotations,AQ,Annotation Source,Structure,MS/MS score,[ppm],mSigma,AQ Details,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,Blank01,Blank02,Blank03,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19
2.4,300,0.8,884.54293,866.50827,"[M+NH4]+, [M+H]+, [M+Na]+, [M+Na]+",[M+NH4]+,MS2,TRUE,BMP 22:6_22:6_[M+NH4]+_MS2_884.54293_2.4,BMP 22:6_22:6,C50H75O10P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Pos.msp,20222,MSDIAL-TandemMassSpectralAtlas-VS69-Pos.msp,"InChI=1S/C50H75O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-49(53)59-47(43-51)45-57-61(55,56)58-46-48(44-52)60-50(54)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,29-32,35-38,47-48,51-52H,3-4,9-10,15-16,21-22,27-28,33-34,39-46H2,1-2H3,(H,55,56)",974.8,-0.808,12.5,MS/MS: Library,6892802,6490493,4401518,6145350,7321386,4949558,5134409,5208104,4922786,5513061,4786803,4523291,6048997,7829938,5313151,6890347,4980939,7220708,4033392,4420996,6153502,3347603,5189753,6190138,3811508,3915620,4943304,3750287,3919323,3898860,8386789,4360297,5841544,5848103,7710280,5858341,5996335,5682840,4743096,3234010,7036277,6510284,3994796,4141218,6113937,3824663,3518599,7294049,3551317,4329018,4363550,4514376,8687143,6369794,4707305,4446967,3591312,5877313,6998966,2636180,5588501,6165940,2458132,3588718,5958938,7135790,4228459,4164358,3174224,4715276,6004412,3511832,6809467,4634525,4610912,5996280,3705050,6210565,6726991,9561524,4047068,5060557,4037327,4200396,5048270,0,0,0,5730561,5486949,5466673,5638263,5097405,5651781,5549582,5931435,6017540,5802869,6228476,5943657,6163800,6233476,5958618,6252956,6657915,6116529,6588210
0.82,199.1,0,344.27958,343.27231,[M+H]+,[M+H]+,MS2,TRUE,CAR 12:0_[M+H]+_MS2_344.27958_0.82,CAR 12:0,C19H37NO4,Target List - Carnitines target,22202,Carnitines target,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/p+1",,0.139,4,,235289,459337,146916,161008,289355,211046,264646,187018,177178,198814,130295,226690,257338,288488,181967,241246,240270,151654,181419,162719,233307,174079,126024,152908,178810,209547,161444,198606,178914,284881,256984,198530,215922,198991,261724,213201,283873,173373,206540,168209,418591,273724,163862,121886,324131,219557,179458,167259,384427,154421,204920,412409,263628,218419,273146,264763,162874,255468,279345,138257,181024,226173,193135,212044,193438,229989,154474,150802,136492,166284,254823,277653,227751,87196,341268,230907,193570,168353,157242,605891,125163,209459,109204,253411,172175,0,0,0,225753,232076,219989,224164,221190,251914,252571,263632,270931,250531,236215,258933,243341,262068,238745,258412,255934,229421,258575
1.06,208.6,0.3,372.31107,371.30379,[M+H]+,[M+H]+,MS2,TRUE,CAR 14:0_[M+H]+_MS2_372.31107_1.06,CAR 14:0,C21H41NO4,Target List - Carnitines target,22202,Carnitines target,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/p+1",,0.63,15.8,,933945,1268106,538746,745904,962912,733447,972135,595973,791734,844685,627704,695117,918623,981392,743377,876926,821199,613443,772419,762027,948151,712253,511747,625881,728827,723602,785963,785942,671106,945838,943717,691008,866780,691539,889134,935937,997755,649318,698841,542703,1077000,916017,637227,444966,1161669,717764,638063,638709,1084980,702951,903742,1164664,1076691,756431,1008911,897437,757107,888923,946079,671544,744441,889732,990075,718682,829571,804442,628879,660529,603239,731188,942388,883152,949310,492853,873090,773987,890339,654037,674703,1628325,627877,756729,547088,764741,717307,0,0,0,750510,776620,726141,775335,773749,822577,884185,1005065,987506,923159,914417,933028,1021102,922755,908342,961786,962058,930312,982254
0.92,202.7,0.3,370.29531,369.28803,[M+H]+,[M+H]+,MS2,TRUE,CAR 14:1_[M+H]+_MS2_370.29531_0.92,CAR 14:1,C21H39NO4,Target List - Carnitines target,22202,Carnitines target,"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h8-9,19H,5-7,10-18H2,1-4H3/p+1",,0.324,1.7,,342993,411385,112149,127217,349350,128210,195745,144272,126659,152099,129627,165054,208539,344467,236969,324741,326705,122827,159474,169911,229067,120480,90061,133668,142414,174647,244699,144250,142812,197490,245230,157605,299259,177163,245489,185335,331879,147646,113798,107852,405345,192235,142683,81246,265612,200973,124759,132801,300118,178810,173971,239664,370135,241657,268059,341729,135821,221085,206550,119062,136736,174873,133304,148199,175535,264592,89282,103961,126947,145621,310972,179905,254222,67864,244903,317565,145190,132115,257296,679809,113787,154277,106640,221680,196072,0,0,0,184471,189474,188683,194720,207106,220586,223922,255780,241791,246738,252640,255214,280399,292016,280103,296105,307883,297583,318450
1.45,215.9,0.1,400.34235,399.33507,[M+H]+,[M+H]+,MS2,TRUE,CAR 16:0_[M+H]+_MS2_400.34235_1.45,CAR 16:0,C23H45NO4,"Target List - Carnitines target, Target List - Carnitines target",22202,Carnitines target,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/p+1",,0.58,4,,4780886,6047098,3072272,3916045,4445295,3010860,5015371,2964454,3467278,5016799,3549655,3376574,4324680,4240767,3526721,4484011,3832162,3610118,3655670,3572438,4395919,2983793,2509896,3201164,3692369,3646866,3699597,2943868,2996693,4147635,4940908,3963933,3455897,3448950,4535103,4447115,5109508,3594985,2652360,2491066,4616099,4484526,3239537,2328595,5166594,3285060,3059387,3416855,4952993,3609962,3319944,5500099,4816344,3850528,4447661,3801666,3406994,3957710,4869934,3450044,3094780,3965103,4202221,3031409,3728860,3977224,2304643,3057803,3385868,3222397,3596613,3631446,4680613,2685325,3707105,3884211,3218898,2870875,3824634,6268706,3652747,3750118,2878204,4776779,3394245,0,0,0,3915964,3517936,4056714,3917479,3870737,4337336,4621623,4076903,4254272,4437363,4434235,4512974,4318285,4571486,4441496,4545190,4582580,4884364,4749285
1.13,210.4,0.3,398.32656,397.31928,[M+H]+,[M+H]+,MS2,FALSE,CAR 16:1_[M+H]+_MS2_398.32656_1.13,CAR 16:1,C23H43NO4,Target List - Carnitines target,22202,Carnitines target,"InChI=1S/C23H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h12-13,21H,5-11,14-20H2,1-4H3/p+1",,0.333,2.4,,1275577,1723397,796045,711951,1415498,680907,1494914,667012,771263,1464667,699414,1015077,1244423,1377088,1205468,1193633,962673,833760,945733,835344,1100602,752188,394433,675666,855461,1168425,1108810,716942,582124,1324077,1334056,805108,1027738,689649,1291627,1093686,1166191,684135,607550,744597,1674084,1278782,923240,533430,1762053,871449,1039014,792597,1680052,801564,935173,1474494,1257456,1157449,1327717,1461089,710930,902784,889587,810678,850321,1153175,1033811,700271,880278,1078687,465065,873189,633719,681687,957527,1060178,1329831,681713,1243020,1244787,733828,634376,988180,1981468,778685,866861,521303,1166643,1141218,0,0,0,1060353,1061306,1008769,1048751,1073659,1167598,1134218,1087007,1170358,1227733,1190900,1254411,1214611,1313995,1308425,1323863,1353681,1361402,1295968
0.96,205.2,0.2,396.31063,395.30336,[M+H]+,[M+H]+,MS2,TRUE,CAR 16:2_[M+H]+_MS2_396.31063_0.96,CAR 16:2,C23H41NO4,Target List - Carnitines target,22202,Carnitines target,"InChI=1S/C23H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h12-13,15-16,21H,5-11,14,17-20H2,1-4H3/p+1",,-0.512,2.4,,109545,294428,45572,60454,251047,61869,176360,72914,73687,73150,44049,54514,101284,242025,117810,166068,91788,55593,62252,97084,89091,44728,31433,55477,64499,76539,109694,73967,67427,76689,149623,101874,118025,77535,160876,113160,166204,60660,53799,47536,356344,131448,76535,49734,157015,67986,62797,69232,125484,75775,67749,189317,238898,124207,172873,176575,88685,133807,136533,50030,71667,76153,62275,79400,80449,147962,56276,52201,67390,51859,165066,117147,140372,38931,100445,159593,73866,66862,98810,664948,54384,61432,32670,89879,121714,0,0,0,109220,105089,95399,94549,105571,120664,130758,138854,131155,130311,138053,143449,149184,141010,149912,154465,151091,146185,155404
1.92,223.2,0.1,428.37346,427.36618,[M+H]+,[M+H]+,MS2,TRUE,CAR 18:0_[M+H]+_MS2_428.37346_1.92,CAR 18:0,C25H49NO4,Target List - Carnitines target,22202,Carnitines target,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3/p+1",,0.07,2.2,,2954769,4200929,2047544,2070174,3011144,2281853,4012535,2268210,2227505,2563040,2380347,2325097,2793412,3555678,2495679,3194926,2623224,2375793,2343032,2738299,3022825,2128752,2049551,1969423,2309196,2035667,2432570,2261076,2801813,2411404,3093265,3356673,2935465,1989655,2792230,2998069,3883262,2082037,2140682,2091346,4122239,3213384,2259089,1531329,3377477,2137852,2353150,2195826,3054988,2617981,2465180,4004294,5126494,2316159,3208878,2547092,2586449,3278103,3252206,2380850,2237762,2924223,2447136,2143999,2997189,2287064,2401707,2932435,2165829,2071103,3154021,2981950,3611410,1942605,3539286,2609746,2694979,1977265,2244547,4766558,2410631,3151322,2302385,3925347,2403849,0,0,0,2924113,2926814,2869145,2994741,2756849,2988182,3143193,3137006,3152862,3044777,2842466,3006085,2934698,2966732,2857757,3100256,3109470,2849075,2896150
1.67,218.9,0.6,426.35771,425.35043,[M+H]+,[M+H]+,MS2,TRUE,CAR 18:1_[M+H]+_MS2_426.35771_1.67,CAR 18:1,C25H47NO4,Target List - Carnitines target,22202,Carnitines target,"InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h10-11,23H,5-9,12-22H2,1-4H3/p+1",,-0.121,12.6,,278625,370796,138531,167707,199924,157988,258379,125232,174472,228087,149664,180854,1798186,175327,185069,223335,248214,173400,204805,219316,279452,188865,163841,133664,186197,197580,226836,165616,135733,197184,230560,178721,165930,128926,161717,209807,293096,135830,153478,149729,313090,227224,163422,93382,298936,147060,173737,127989,361240,179252,170098,279948,312183,217989,232364,297810,158209,178797,162642,179795,199435,191905,223716,111362,191610,180414,134450,157471,119950,146044,185079,240275,193092,130568,309371,253013,145628,107007,187357,388408,148393,161497,148085,251799,180250,0,0,0,195533,193210,218816,184590,216920,231712,243801,219307,204257,194427,201710,231704,211322,243694,233958,260941,213623,263879,236625
2.15,230.3,0.1,456.40425,455.39697,[M+H]+,[M+H]+,MS2,TRUE,CAR 20:0_[M+H]+_MS2_456.40425_2.15,CAR 20:0,C27H53NO4,"Target List - Carnitines target, Target List - Carnitines target",22202,Carnitines target,"InChI=1S/C27H53NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h25H,5-24H2,1-4H3/p+1",,-1.06,5.3,,527715,1548928,670237,498832,694567,654659,1198998,672459,406247,619951,640771,760399,1031981,858117,471565,836099,419562,618187,783268,527691,970889,420160,567660,468502,550409,680896,372819,697821,655436,555674,1082350,984522,535903,406268,951973,718467,1234052,564713,737936,674468,1166821,1103120,504484,471189,1183770,289821,686705,483306,764507,808290,235046,1384925,1632842,522558,828342,457304,442516,853960,864235,720548,528182,799229,374051,507369,937037,370324,323413,621244,432130,406721,1011993,911442,893718,571770,1806988,486998,598635,547026,464089,1395402,655941,606388,700988,939417,349099,0,0,0,787016,722057,776721,820333,763307,788876,712191,744766,919395,804329,865483,820123,859087,842226,768842,850523,898950,844758,919849
