sample,labels,batch,order,group,time,paired,amount
RT [min],RT,,,,,,
CCS,-,,,,,,
delta CCS,-,,,,,,
m/z meas.,Mass,,,,,,
M meas.,-,,,,,,
AllIons,-,,,,,,
Ion,Adduct_neg,,,,,,
MS2 annotated,-,,,,,,
MS/MS,-,,,,,,
Name,Name,,,,,,
Original annotation,-,,,,,,
Molecular Formula,-,,,,,,
Annotations,-,,,,,,
AQ,-,,,,,,
Annotation Source,-,,,,,,
Structure,-,,,,,,
MS/MS score,-,,,,,,
[ppm],-,,,,,,
mSigma,-,,,,,,
AQ Details,-,,,,,,
1,Sample,1,lps,48,2,,20
2,Sample,1,lps,66,2,,20
3,Sample,1,ctr,12,2,,19.5
4,Sample,1,lps,62,2,,10
5,Sample,1,ctr,41,2,,20
6,Sample,1,ctr,31,2,,20
7,Sample,1,lps,16,2,,20
8,Sample,1,ctr,8,2,,20
9,Sample,1,ctr,17,2,,20
10,Sample,1,ctr,21,2,,20
11,Sample,1,ctr,30,2,,20
12,Sample,1,lps,64,2,,20
13,Sample,1,ctr,75,5,,20
14,Sample,1,ctr,26,5,,21
15,Sample,1,lps,87,5,,20
16,Sample,1,ctr,86,5,,20
17,Sample,1,ctr,57,5,,20
18,Sample,1,ctr,9,5,,20
19,Sample,1,lps,76,5,,20
20,Sample,1,lps,51,5,,20
21,Sample,1,ctr,68,5,,20
22,Sample,1,lps,58,5,,20
23,Sample,1,lps,22,5,,19
24,Sample,1,ctr,37,5,,20
25,Sample,1,lps,100,5,,20
26,Sample,1,lps,38,5,,21
27,Sample,1,lps,91,5,,20
28,Sample,1,lps,80,5,,20
29,Sample,1,lps,14,5,,21
30,Sample,1,ctr,43,5,,20
31,Sample,1,lps,50,5,,20
32,Sample,1,ctr,5,12,,20
33,Sample,1,ctr,29,12,,20
34,Sample,1,lps,92,12,,20
35,Sample,1,ctr,103,12,,21
36,Sample,1,lps,7,12,,21
37,Sample,1,ctr,90,12,,20
38,Sample,1,ctr,45,12,,20
39,Sample,1,lps,65,12,,21
40,Sample,1,ctr,10,12,,20
41,Sample,1,ctr,52,12,,20
42,Sample,1,ctr,19,12,,21
43,Sample,1,lps,49,12,,20
44,Sample,1,lps,98,12,,20
45,Sample,1,lps,96,12,,20
46,Sample,1,ctr,94,12,,20
47,Sample,1,lps,59,12,,20
48,Sample,1,ctr,24,12,,20
49,Sample,1,ctr,28,12,,20
50,Sample,1,lps,99,12,,20
51,Sample,1,ctr,27,12,,20
52,Sample,1,ctr,40,12,,21
53,Sample,1,ctr,33,24,,20
54,Sample,1,ctr,15,24,,21
55,Sample,1,ctr,55,24,,20
56,Sample,1,ctr,61,24,,20
57,Sample,1,lps,47,24,,20
58,Sample,1,tio2,54,24,,20
59,Sample,1,tio2,89,24,,20
60,Sample,1,tio2,71,24,,21
61,Sample,1,ctr,42,24,,20
62,Sample,1,ctr,36,24,,21
63,Sample,1,lps,34,24,,20
64,Sample,1,ctr,93,24,,20
65,Sample,1,ctr,79,24,,20
66,Sample,1,lps,20,24,,20
67,Sample,1,lps,70,24,,20
68,Sample,1,ctr,23,24,,20
69,Sample,1,lps,73,24,,21
70,Sample,1,tio2,44,24,,20
71,Sample,1,tio2,69,24,,21
72,Sample,1,ctr,85,24,,21
73,Sample,1,ctr,35,24,,20
74,Sample,1,ctr,97,24,,20
75,Sample,1,lps,56,24,,20
76,Sample,1,lps,84,24,,20
77,Sample,1,ctr,63,24,,20
78,Sample,1,lps,78,24,,20
79,Sample,1,lps,83,24,,20
80,Sample,1,lps,77,24,,20
81,Sample,1,lps,72,24,,20
82,Sample,1,tio2,13,24,,21
83,Sample,1,tio2,82,24,,21
84,Sample,1,tio2,6,24,,20
85,Sample,1,tio2,101,24,,21
Blank01,Blank,,,,,,
Blank02,Blank,,,,,,
Blank03,Blank,,,,,,
QC01,QC,1,,1,,,
QC02,QC,1,,2,,,
QC03,QC,1,,3,,,
QC04,QC,1,,4,,,
QC05,QC,1,,11,,,
QC06,QC,1,,18,,,
QC07,QC,1,,25,,,
QC08,QC,1,,32,,,
QC09,QC,1,,39,,,
QC10,QC,1,,46,,,
QC11,QC,1,,53,,,
QC12,QC,1,,60,,,
QC13,QC,1,,67,,,
QC14,QC,1,,74,,,
QC15,QC,1,,81,,,
QC16,QC,1,,88,,,
QC17,QC,1,,95,,,
QC18,QC,1,,102,,,
QC19,QC,1,,104,,,
