RT [min],CCS,m/z meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Ions,ID library,Positive id forms,Positive id forms formatted,ID confidence,Annotation Source,mSigma,MS/MS score,mz,BlankC1,BlankC2,BlankC3,BlankC4,BlankC5,BlankC6,QC01,QC02,QC03,E3,E6,F3,F5,F4,E2,QC04,F2,F1,F6,E5,E4,E1,QC05
1.23,177.3,295.22713,12(13)-EpOME,C18H32O3,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",10212,12(13)-EpOME_295.227_1.23_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Bruker MetaboBASE Personal Library 3.0,20.1,520,-2.625,6317,0,3027,2968,3515,0,8799,8072,8686,21725,6207,8745.8,6724,16376,11200,0,8967,5679,5983,14747,0,0,9806
0.68,216.1,546.21084,".beta.-D-Glucopyranosiduronic acid, 6-[3-(1-naphthalenylcarbonyl)-1H-indol-1-yl]hexyl",C31H33NO8,Spectral Library - Nist17_high_merged.msp,10210,".beta.-D-Glucopyranosiduronic acid, 6-[3-(1-naphthalenylcarbonyl)-1H-indol-1-yl]hexyl_546.211_0.68_[M-H]-_low",[M-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,17.4,646.2,-4.575,0,0,0,0,950,915,31818,30270,30676,0,1105,45071,43893,47297,0,31364,40944,45481,47740,0,0,0,30926
3,301.1,862.59626,"1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine",C48H84NO7P,Spectral Library - Nist17_high_merged.msp,20110,"1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine_862.596_3_[M+HCOOH-H]-_low",[M+HCOOH-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,107.4,625.8,-0.735,0,0,0,0,0,0,97152,92802,100570,98446,101062,108952,112175,104205,104085,98049,100977,97335,130068,104846,107518,81822,94293
1.12,182.6,319.2271,11(S)-HETE,C20H32O3,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",10212,11(S)-HETE_319.227_1.12_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Bruker MetaboBASE Personal Library 3.0,19.3,671,-2.564,0,1841,3218,0,0,0,9783,11177,10110,11373,9729,16391.6,12118,12974,20611,11456,30603,11108,15155,12201,10935,11578,12949
1.33,179,299.25844,12-Hydroxyoctadecanoic acid,C18H36O3,Spectral Library - MoNA,10220,12-Hydroxyoctadecanoic acid_299.258_1.33_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MoNA,16.9,896.6,-2.442,29970,27742,23188,25160,34441,23713,26749,25639,28699,35349,33047,34520.8,38717,32158,42641,30869,41626,25217,34886,29177,37359,34162,31567
2.34,286,793.50357,1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phospho-(1'-rac-glycerol),C44H75O10P,Spectral Library - Nist17_high_merged.msp,20120,1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phospho-(1'-rac-glycerol)_793.504_2.34_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,68,907.9,1.069,0,0,0,0,0,0,377964,404427,411617,417476,327491,495408.8,495096,573678,266654,415315,445564,371998,590708,314670,396889,0,400276
3.16,260.9,673.48041,1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphate,C37H71O8P,Spectral Library - Nist17_high_merged.msp,20120,1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphate_673.48_3.16_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,103.6,932.2,-1.231,0,0,0,0,0,0,106319,123284,105610,118613,99771,92747.2,79405,82289,169572,86520,136786,60973,104283,0,138070,122900,104076
2.71,287,810.52852,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine,C44H78NO10P,Spectral Library - Nist17_high_merged.msp,20210,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine_810.529_2.71_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,35.8,560.8,-0.863,27603,23222,21162,24893,0,25685,0,312918,319234,0,297185,279165.4,284286,330365,0,0,289683,245541,245952,291902,332424,281987,291337
2.87,288.2,810.52992,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine,C44H78NO10P,Spectral Library - Nist17_high_merged.msp,20210,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine_810.53_2.87_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,26.5,527.3,0.599,0,0,0,0,0,0,1451759,1220661,1289142,1342631,1064647,1067256.8,1157375,1119841,1157493,1262053,1055251,1011702,992115,1082403,1236109,1167881,1156197
3.61,294.7,806.59349,1-Stearoyl-2-palmitoyl-sn-glycero-3-phosphocholine,C42H84NO8P,Spectral Library - Nist17_high_merged.msp,10210,1-Stearoyl-2-palmitoyl-sn-glycero-3-phosphocholine_806.593_3.61_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,12.3,692.8,2.401,17265,12031,12598,1334,1230,1067,1549167,1540689,1648972,1371955,1528490,1728176,1615243,1578737,1311318,1514668,1610125,1873467,1963308,1452930,1363949,1475118,1659114
