RT [min],m/z meas.,M meas.,Ions,MS/MS,Original annotation,Name,Molecular Formula,Annotations,Annotation Source,AQ,Score,Id confidence,mSigma,MS/MS score,Structure,AQ Details,Blank01,Blank02,Blank03,QC01,QC02,QC03,QC04,23,28,6,13,11,QC05,1,29,15,22,5,QC06,33,10,26,17,9,QC07,25,3,7,27,20,QC08,8,30,2,19,21,QC09,18,31,14,24,32,QC10,12,4,16,QC11
4.07,137.13261,136.12533,[M+H]+,TRUE,?-Terpinene,?-Terpinene_137.13261_4.07_[M+H]+_high,C10H16,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Nist17_high_merged.msp, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",Bruker MetaboBASE Personal Library 3.0,20220,6,high,3.6,973.8,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3",MS/MS: Library,182506,214474,199556,156438,156438,152166,149368,157674,156692,162566,159728,165402,167364,167300,158652,161784,161102,157570,160420,174208,167132,155864,164450,158906,163550,172904,182994,166962,184602,171596,177738,172368,164128,166978,168590,159122,164958,173710,175648,172190,172300,171986,177300,179588,167318,178230,178506
2.98,288.19188,287.18461,[M+H]+,TRUE,Val Ile Gly,Val Ile Gly_288.19188_2.98_[M+H]+_high,C13H25N3O4,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",Bruker MetaboBASE Personal Library 3.0,20220,6,high,3.4,945.3,"InChI=1S/C13H25N3O4/c1-5-8(4)11(13(20)15-6-9(17)18)16-12(19)10(14)7(2)3/h7-8,10-11H,5-6,14H2,1-4H3,(H,15,20)(H,16,19)(H,17,18)/t8-,10-,11-/m0/s1",MS/MS: Library,0,0,0,21914,21914,21912,21128,30222,9948,9328,11586,4050,21666,39238,17834,3952,110752,44424,23358,26694,5848,5104,7454,27562,23710,25750,42868,3630,22962,20204,24324,4470,7010,15250,9546,24514,26296,28004,13676,9268,19650,114824,26090,5594,17680,5462,26526
5.35,249.20605,248.19888,[M+H]+,TRUE,Tripropylene glycol butyl ether,Tripropylene glycol butyl ether_249.20605_5.35_[M+H]+_high,C13H28O4,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20220,6,high,2.1,961.2,,MS/MS: Library,297812,286616,295430,303094,303094,305240,302910,310360,305854,303242,298614,305842,307136,304240,77982,81442,310278,306600,307422,309736,79896,306200,305110,311432,304818,79584,309070,82828,311040,310496,315412,87452,308726,318512,313604,316614,319466,320110,318912,84668,324216,81018,83134,310276,323230,316598,310708
0.95,306.12962,305.12234,[M+H]+,TRUE,Thr Gly Glu,Thr Gly Glu_306.12962_0.95_[M+H]+_Medium,C11H19N3O7,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,1,772.5,"InChI=1S/C11H19N3O7/c1-5(15)9(12)10(19)13-4-7(16)14-6(11(20)21)2-3-8(17)18/h5-6,9,15H,2-4,12H2,1H3,(H,13,19)(H,14,16)(H,17,18)(H,20,21)/t5-,6+,9+/m1/s1",MS/MS: Library,0,0,0,93830,93830,112372,116534,95442,49866,127902,115396,103750,119774,134594,43940,149482,118392,114948,117982,49344,130390,56278,79090,176338,109734,48826,104868,240768,54974,101928,107838,165582,74972,154876,65800,208990,117376,155626,45178,260314,83524,41108,110946,220218,98856,83086,109794
1.38,424.10218,423.09488,[M+H]+,TRUE,"S-(1,2-DICARBOXYETHYL)GLUTATHIONE","S-(1,2-DICARBOXYETHYL)GLUTATHIONE_424.10218_1.38_[M+H]+_high",C14H21N3O10S,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20220,6,high,13.8,914.4,"InChI=1S/C14H21N3O10S/c15-6(13(24)25)1-2-9(18)17(4-11(21)22)12(23)7(16)5-28-8(14(26)27)3-10(19)20/h6-8H,1-5,15-16H2,(H,19,20)(H,21,22)(H,24,25)(H,26,27)/t6-,7-,8?/m0/s1",MS/MS: Library,0,0,560,480414,480414,531080,509466,817704,415466,531554,223768,372954,479684,526072,257396,476930,499912,634916,461326,391000,535058,256584,479152,292794,506678,437014,380380,491556,289368,564118,494214,497940,317714,628492,537600,863240,494310,417766,380932,488898,578970,306082,469188,498830,914446,411996,511540
3.36,130.15909,129.15182,[M+H]+,TRUE,Octodrine,Octodrine_130.15909_3.36_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,2.3,693.1,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,508908,519994,494780,281142,281142,293538,297976,301292,310014,306874,301240,296688,301232,293780,309586,266000,286946,0,288992,301362,299440,300594,324486,266420,291562,327852,298136,292594,306572,291560,289836,291082,307274,0,292462,258346,298202,299034,320234,286992,326660,295312,292530,260960,266180,300170,297276
3.44,130.15909,129.15181,[M+H]+,TRUE,Octodrine,Octodrine_130.15909_3.44_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,2.7,698.8,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,698792,697058,714628,421422,421422,414682,399418,417568,411826,424566,427026,398390,415130,418706,407566,405852,402736,384320,419254,385118,408140,432596,408922,414098,406744,431564,445812,408404,433362,413626,417392,438260,428510,414956,419694,372286,428786,442388,418294,429668,449188,396260,370096,353552,394906,437194,403710
5.35,130.15909,129.15182,[M+H]+,TRUE,Octodrine,Octodrine_130.15909_5.35_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,4.9,540.9,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,55322,55024,56948,54878,54878,53020,0,0,54368,53590,0,53070,54722,54022,54762,53686,52666,0,54792,53376,53684,54082,54456,54774,54482,54048,55638,55802,54352,55212,0,54212,55230,0,54262,55874,53410,55372,54862,0,54648,0,55638,54224,53576,0,55026
5.66,130.1591,129.15182,[M+H]+,TRUE,Octodrine,Octodrine_130.1591_5.66_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,3.8,553.5,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,68112,69326,68018,67378,67378,68864,70746,68634,69828,69744,67948,68686,66934,71292,68170,68470,67940,68552,69564,69794,68396,68854,70436,69108,71256,71908,71952,74052,74008,70812,70992,73916,70110,72494,72788,70842,72876,69866,70458,74686,71138,72652,73162,72568,72888,76188,72634
5.92,130.1591,129.15183,[M+H]+,TRUE,Octodrine,Octodrine_130.1591_5.92_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,4.2,551.8,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,89150,87758,87500,83196,83196,87054,87574,87952,88962,87618,85034,87906,86190,89030,85470,84520,88454,84654,91592,87250,84978,85388,84914,90284,89212,87128,89116,90182,87848,87578,87334,86220,86568,88344,88538,87112,88394,86898,94044,88176,86102,85972,87716,85998,87360,86684,87376
