sample,batch,order,group,time,paired,amount
QC01,1,1,,,,
QC02,1,2,,,,
QC03,1,3,,,,
QC04,1,4,,,,
23,1,5,4,,,
28,1,6,5,,,
6,1,7,1,,,
13,1,8,2,,,
11,1,9,2,,,
QC05,1,10,,,,
1,1,11,1,,,
29,1,12,5,,,
15,1,13,2,,,
22,1,14,4,,,
5,1,15,1,,,
QC06,1,16,,,,
33,1,17,6,,,
10,1,18,1,,,
26,1,19,5,,,
17,1,20,2,,,
9,1,21,1,,,
QC07,1,22,,,,
25,1,23,4,,,
3,1,24,1,,,
7,1,25,1,,,
27,1,26,5,,,
20,1,27,3,,,
QC08,1,28,,,,
8,1,29,1,,,
30,1,30,6,,,
2,1,31,1,,,
19,1,32,3,,,
21,1,33,3,,,
QC09,1,34,,,,
18,1,35,3,,,
31,1,36,6,,,
14,1,37,2,,,
24,1,38,4,,,
32,1,39,6,,,
QC10,1,40,,,,
12,1,41,2,,,
4,1,42,1,,,
16,1,43,2,,,
QC11,1,44,,,,
