sample,labels,batch,order,group,time,paired,amount
RT [min],RT,,,,,,
m/z meas.,Mass,,,,,,
M meas.,-,,,,,,
Ions,Adduct_neg,,,,,,
MS/MS,-,,,,,,
Original annotation,-,,,,,,
Name,Name,,,,,,
Molecular Formula,-,,,,,,
Annotations,-,,,,,,
Annotation Source,-,,,,,,
AQ,-,,,,,,
Score,-,,,,,,
Id confidence,-,,,,,,
mSigma,-,,,,,,
MS/MS score,-,,,,,,
Structure,-,,,,,,
AQ Details,-,,,,,,
Blank01,Blank,,,,,,
Blank02,Blank,,,,,,
Blank03,Blank,,,,,,
QC01,QC,1,1,,,,
QC02,QC,1,2,,,,
QC03,QC,1,3,,,,
QC04,QC,1,4,,,,
23,Sample,1,5,4,,,
28,Sample,1,6,5,,,
6,Sample,1,7,1,,,
13,Sample,1,8,2,,,
11,Sample,1,9,2,,,
QC05,QC,1,10,,,,
1,Sample,1,11,1,,,
29,Sample,1,12,5,,,
15,Sample,1,13,2,,,
22,Sample,1,14,4,,,
5,Sample,1,15,1,,,
QC06,QC,1,16,,,,
33,Sample,1,17,6,,,
10,Sample,1,18,1,,,
26,Sample,1,19,5,,,
17,Sample,1,20,2,,,
9,Sample,1,21,1,,,
QC07,QC,1,22,,,,
25,Sample,1,23,4,,,
3,Sample,1,24,1,,,
7,Sample,1,25,1,,,
27,Sample,1,26,5,,,
20,Sample,1,27,3,,,
QC08,QC,1,28,,,,
8,Sample,1,29,1,,,
30,Sample,1,30,6,,,
2,Sample,1,31,1,,,
19,Sample,1,32,3,,,
21,Sample,1,33,3,,,
QC09,QC,1,34,,,,
18,Sample,1,35,3,,,
31,Sample,1,36,6,,,
14,Sample,1,37,2,,,
24,Sample,1,38,4,,,
32,Sample,1,39,6,,,
QC10,QC,1,40,,,,
12,Sample,1,41,2,,,
4,Sample,1,42,1,,,
16,Sample,1,43,2,,,
QC11,QC,1,44,,,,
