sample,labels,batch,order,group,time,paired,amount
RT [min],RT,,,,,,
CCS,-,,,,,,
m/z meas.,Mass,,,,,,
Original annotation,-,,,,,,
Molecular Formula,-,,,,,,
Annotations,-,,,,,,
AQ,-,,,,,,
Name for process,Name,,,,,,
Ions,Adduct_pos,,,,,,
ID library,-,,,,,,
Positive id forms,-,,,,,,
Positive id forms formatted,-,,,,,,
ID confidence,-,,,,,,
Annotation Source,-,,,,,,
mSigma,-,,,,,,
MS/MS score,-,,,,,,
mz,-,,,,,,
BlankC1,Blank,,,,,,
BlankC2,Blank,,,,,,
BlankC3,Blank,,,,,,
BlankC4,Blank,,,,,,
BlankC5,Blank,,,,,,
BlankC6,Blank,,,,,,
QC01,QC,1,1,,,,
QC02,QC,1,2,,,,
QC03,QC,1,3,,,,
E3,Sample,1,4,1,,,
E6,Sample,1,5,1,,,
F3,Sample,1,6,2,,,
F5,Sample,1,7,2,,,
F4,Sample,1,8,2,,,
E2,Sample,1,9,1,,,
QC04,QC,1,10,,,,
F2,Sample,1,11,2,,,
F1,Sample,1,12,2,,,
F6,Sample,1,13,2,,,
E5,Sample,1,14,1,,,
E4,Sample,1,15,1,,,
E1,Sample,1,16,1,,,
QC05,QC,1,17,,,,
